,movie_id,awards_unclean,award_name,award_qty,extra_award_name,extra_award_qty,nomination_name,nomination_qty,extra_nomination_name,extra_nomination_qty
15,tt2554714,1 win.,,,unknown,1.0,,,,
21,tt0206367,1 nomination.,,,,,,,unknown,1.0
27,tt1242851,1 nomination.,,,,,,,unknown,1.0
48,tt1080813,4 wins & 5 nominations.,,,unknown,4.0,,,unknown,5.0
56,tt1621642,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
66,tt0481637,1 win.,,,unknown,1.0,,,,
81,tt2140619,1 nomination.,,,,,,,unknown,1.0
106,tt3289518,1 win & 3 nominations.,,,unknown,1.0,,,unknown,3.0
110,tt5440594,2 wins.,,,unknown,2.0,,,,
133,tt2963338,1 nomination.,,,,,,,unknown,1.0
140,tt3136458,3 nominations.,,,,,,,unknown,3.0
158,tt5869620,2 wins & 8 nominations.,,,unknown,2.0,,,unknown,8.0
178,tt0094134,1 win.,,,unknown,1.0,,,,
191,tt1305027,3 wins & 1 nomination.,,,unknown,3.0,,,unknown,1.0
240,tt0818671,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
253,tt1776196,4 wins & 5 nominations.,,,unknown,4.0,,,unknown,5.0
256,tt4457824,1 nomination.,,,,,,,unknown,1.0
259,tt0333235,2 wins.,,,unknown,2.0,,,,
267,tt0128800,1 win.,,,unknown,1.0,,,,
272,tt0053867,3 wins & 2 nominations.,,,unknown,3.0,,,unknown,2.0
274,tt4970038,1 nomination.,,,,,,,unknown,1.0
275,tt0346651,1 nomination.,,,,,,,unknown,1.0
277,tt3908390,3 wins & 1 nomination.,,,unknown,3.0,,,unknown,1.0
281,tt0980999,3 wins & 6 nominations.,,,unknown,3.0,,,unknown,6.0
286,tt3540754,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
289,tt1621427,1 win.,,,unknown,1.0,,,,
293,tt3524782,1 win.,,,unknown,1.0,,,,
308,tt3762894,1 nomination.,,,,,,,unknown,1.0
312,tt1401236,1 win.,,,unknown,1.0,,,,
321,tt2025613,1 win.,,,unknown,1.0,,,,
328,tt2144960,1 win.,,,unknown,1.0,,,,
337,tt2104982,1 nomination.,,,,,,,unknown,1.0
345,tt2575568,1 nomination.,,,,,,,unknown,1.0
353,tt0088074,1 win.,,,unknown,1.0,,,,
355,tt0061325,1 win & 1 nomination.,,,unknown,1.0,,,unknown,1.0
360,tt1919174,4 wins & 4 nominations.,,,unknown,4.0,,,unknown,4.0
378,tt4860694,3 nominations.,,,,,,,unknown,3.0
380,tt4615902,1 win & 4 nominations.,,,unknown,1.0,,,unknown,4.0
399,tt0271032,1 win.,,,unknown,1.0,,,,
401,tt0204676,1 win.,,,unknown,1.0,,,,
403,tt5279842,1 nomination.,,,,,,,unknown,1.0
406,tt1546420,1 win.,,,unknown,1.0,,,,
418,tt1183370,1 nomination.,,,,,,,unknown,1.0
434,tt0122591,1 win & 2 nominations.,,,unknown,1.0,,,unknown,2.0
460,tt2819436,nominated for 1 bafta film award. another 1 nomination.,,,,,bafta,1.0,unknown,1.0
492,tt1670252,5 wins & 1 nomination.,,,unknown,5.0,,,unknown,1.0
514,tt0756639,16 wins & 3 nominations.,,,unknown,16.0,,,unknown,3.0
520,tt1320302,1 nomination.,,,,,,,unknown,1.0
544,tt0126359,1 nomination.,,,,,,,unknown,1.0
546,tt0188757,2 nominations.,,,,,,,unknown,2.0
563,tt0120005,1 win.,,,unknown,1.0,,,,
