,movie_id,country_name
0,tt2268369,usa
1,tt1560760,usa
2,tt0016750,usa
3,tt3405286,usa
4,tt3816698,sri lanka
5,tt3645730,usa
6,tt1837501,uk
7,tt0328410,usa
8,tt0366512,south korea
9,tt1006835,usa
10,tt3481238,australia
11,tt5861482,canada
12,tt6415892,usa
13,tt1615038,usa
14,tt5191168,new zealand
15,tt2554714,usa
17,tt1085396,nigeria
18,tt1990255,china
19,tt2061863,usa
20,tt0090609,usa
21,tt0206367,usa
23,tt3410682,australia
24,tt0046287,usa
25,tt2322381,usa
26,tt0126608,usa
27,tt1242851,usa
28,tt0065827,portugal
29,tt0025597,usa
30,tt0288410,usa
31,tt2018143,uk
32,tt2958524,usa
33,tt0021959,usa
34,tt3380030,usa
35,tt0800262,"france, australia"
36,tt2620488,usa
37,tt1851002,usa
38,tt5769930,usa
39,tt0928078,belgium
40,tt1194132,usa
41,tt4451626,portugal
42,tt3811250,australia
43,tt0098347,usa
44,tt0373910,australia
45,tt0042967,usa
46,tt1462656,usa
47,tt0281997,usa
48,tt1080813,portugal
49,tt0069796,usa
50,tt0377688,usa
51,tt0043064,usa
52,tt0053230,"france, italy"
53,tt0058512,usa
54,tt1093394,hong kong
55,tt0471215,mexico
56,tt1621642,thailand
57,tt0874311,usa
58,tt1149397,usa
59,tt0008122,usa
60,tt1531700,usa
61,tt6135424,iran
62,tt0238749,usa
64,tt1181793,germany
65,tt2391934,italy
66,tt0481637,australia
67,tt0437839,france
68,tt1858151,usa
69,tt2398171,usa
70,tt4294232,usa
71,tt3108494,usa
72,tt0032124,usa
73,tt0102020,usa
74,tt0406939,usa
75,tt1854269,usa
76,tt3411856,china
77,tt3744422,usa
78,tt1455662,usa
79,tt0009696,usa
80,tt1937176,china
81,tt2140619,usa
82,tt0452684,germany
83,tt1541040,usa
84,tt0211467,hong kong
85,tt4517122,canada
86,tt1433235,usa
87,tt3614918,usa
89,tt4687860,ireland
90,tt1590345,"germany, usa"
91,tt4828356,usa
92,tt0288559,india
93,tt1542846,usa
95,tt2756554,france
96,tt0435413,usa
97,tt0050547,usa
98,tt6569630,canada
100,tt5070428,usa
101,tt0397019,usa
104,tt4403312,france
105,tt0127257,"usa, italy"
106,tt3289518,czech republic
107,tt5238296,czech republic
108,tt2559948,usa
109,tt2241213,finland
110,tt5440594,india
111,tt2525178,usa
112,tt7338642,usa
113,tt0105289,usa
115,tt5663770,argentina
116,tt1070359,france
117,tt0302300,uk
118,tt0161677,usa
119,tt1676902,uk
120,tt0765209,usa
121,tt3363428,usa
122,tt5115318,uk
123,tt5049508,usa
124,tt1660614,france
125,tt1587797,italy
126,tt5063110,usa
127,tt1583263,"canada, usa, india"
128,tt0001816,usa
129,tt1934440,usa
130,tt1653884,indonesia
131,tt0296148,usa
132,tt2364719,usa
133,tt2963338,canada
135,tt2251401,australia
136,tt2884538,usa
137,tt1377268,usa
138,tt1339516,usa
139,tt1723728,usa
140,tt3136458,"germany, romania"
141,tt2156234,usa
143,tt0092825,usa
144,tt0232671,"france, brazil, chile"
145,tt2255745,usa
146,tt4661978,usa
147,tt1693932,usa
148,tt1683925,usa
149,tt0180443,usa
150,tt0337239,usa
151,tt4357488,"canada, argentina"
152,tt3439342,usa
153,tt0115892,usa
154,tt2089752,usa
155,tt4109058,usa
156,tt1586490,australia
157,tt5326150,uk
158,tt5869620,canada
159,tt3739210,usa
160,tt2647204,usa
161,tt3833372,usa
162,tt3614370,usa
163,tt3840666,usa
164,tt0818844,usa
165,tt0314045,usa
166,tt1421375,"sweden, china, hong kong"
167,tt0161862,mexico
168,tt4560128,usa
169,tt0365601,usa
170,tt4201280,usa
171,tt0447448,usa
173,tt4060644,usa
174,tt5440176,usa
176,tt3265266,uk
177,tt0347121,uk
178,tt0094134,usa
179,tt1275746,usa
180,tt3237268,usa
181,tt0288655,greece
182,tt2047686,canada
183,tt5257554,usa
184,tt1267415,usa
185,tt0850265,usa
186,tt1677529,usa
187,tt2976330,usa
188,tt0140980,usa
190,tt0019288,usa
191,tt1305027,"kazakhstan, russia, poland, israel"
192,tt1919131,switzerland
193,tt5238684,canada
194,tt2102417,usa
195,tt4446526,"canada, usa"
196,tt5118940,usa
197,tt0196412,usa
198,tt0397569,usa
199,tt2223152,philippines
200,tt2151653,germany
201,tt1158285,japan
202,tt4211342,usa
203,tt1014089,australia
204,tt5662668,italy
206,tt0001217,usa
207,tt1774269,germany
208,tt1754739,usa
209,tt5235676,usa
210,tt1709101,"singapore, indonesia"
211,tt1924443,australia
212,tt0100566,usa
213,tt0423477,czech republic
214,tt4335670,usa
215,tt4761466,italy
216,tt3256428,usa
217,tt5493392,usa
218,tt2141729,usa
219,tt5932366,usa
221,tt4147212,usa
222,tt0099159,japan
223,tt7457286,usa
224,tt0988137,usa
225,tt5016938,uk
226,tt4434190,usa
227,tt3918292,uk
228,tt0102534,usa
229,tt0188729,hong kong
230,tt0811126,usa
231,tt0032122,uk
232,tt2306487,usa
233,tt3859568,usa
235,tt5934346,usa
237,tt7133254,uk
238,tt0219477,usa
239,tt1134589,uk
240,tt0818671,usa
241,tt2115324,india
242,tt2302780,usa
243,tt2736812,usa
244,tt0227570,canada
246,tt3540670,usa
248,tt2308674,usa
249,tt0133976,usa
250,tt0385031,chile
251,tt0326969,uk
252,tt7161346,china
253,tt1776196,japan
254,tt2309945,uk
255,tt4971180,australia
256,tt4457824,usa
257,tt0465422,usa
258,tt3698356,uk
259,tt0333235,canada
260,tt2195995,portugal
261,tt3350522,australia
