,movie_id,language_name
0,tt2268369,English
3,tt3405286,English
4,tt3816698,Sinhalese
5,tt3645730,English
6,tt1837501,English
7,tt0328410,English
8,tt0366512,Korean
9,tt1006835,English
10,tt3481238,English
11,tt5861482,English
12,tt6415892,English
13,tt1615038,English
14,tt5191168,English
15,tt2554714,English
17,tt1085396,English
18,tt1990255,Mandarin
19,tt2061863,English
20,tt0090609,English
21,tt0206367,English
23,tt3410682,English
24,tt0046287,English
25,tt2322381,English
26,tt0126608,English
27,tt1242851,English
29,tt0025597,English
30,tt0288410,English
31,tt2018143,English
32,tt2958524,English
33,tt0021959,English
34,tt3380030,English
35,tt0800262,English
36,tt2620488,English
37,tt1851002,English
38,tt5769930,English
39,tt0928078,French
40,tt1194132,English
41,tt4451626,Portuguese
42,tt3811250,English
43,tt0098347,English
44,tt0373910,English
45,tt0042967,English
46,tt1462656,English
48,tt1080813,Portuguese
49,tt0069796,English
51,tt0043064,English
52,tt0053230,French
53,tt0058512,English
54,tt1093394,Cantonese
55,tt0471215,Spanish
56,tt1621642,Thai
57,tt0874311,English
58,tt1149397,English
60,tt1531700,English
61,tt6135424,Persian
62,tt0238749,English
64,tt1181793,German
66,tt0481637,English
68,tt1858151,English
69,tt2398171,English
70,tt4294232,English
71,tt3108494,English
72,tt0032124,English
73,tt0102020,English
74,tt0406939,English
75,tt1854269,English
76,tt3411856,Chinese
77,tt3744422,English
78,tt1455662,English
81,tt2140619,English
82,tt0452684,German
83,tt1541040,English
84,tt0211467,Mandarin
85,tt4517122,English
86,tt1433235,English
87,tt3614918,English
89,tt4687860,English
90,tt1590345,English
91,tt4828356,English
92,tt0288559,Malayalam
93,tt1542846,English
95,tt2756554,English
96,tt0435413,English
97,tt0050547,English
98,tt6569630,English
100,tt5070428,English
101,tt0397019,English
103,tt6040624,English
104,tt4403312,English
105,tt0127257,Italian
106,tt3289518,Czech
108,tt2559948,English
110,tt5440594,Malayalam
110,tt5440594,English
110,tt5440594,Hindi
111,tt2525178,English
112,tt7338642,English
113,tt0105289,English
115,tt5663770,Spanish
117,tt0302300,English
118,tt0161677,English
120,tt0765209,English
121,tt3363428,English
122,tt5115318,English
123,tt5049508,English
124,tt1660614,French
125,tt1587797,Italian
126,tt5063110,English
127,tt1583263,English
