,movie_id,writer_name,writer_role
0,tt0016750,ernest vajda,story
1,tt0328410,ben f. wilson,scenario
2,tt0366512,sam-yuk yoon,screenplay
3,tt0206367,judy rothman rofé,screenplay
4,tt0206367,e.b. white,book
5,tt0046287,norman reilly raine,story
6,tt0046287,steve fisher,screenplay
7,tt0025597,franz schulz,story
8,tt0025597,billy wilder,story
9,tt1851002,andrew n. shearer,story
10,tt4451626,bruno gascon,original screenplay
11,tt0098347,tama janowitz,based on the stories by
12,tt0098347,tama janowitz,screenplay
13,tt0042967,daniel b. ullman,original screenplay
14,tt0069796,russ meyer,screenplay
15,tt0069796,leonard neubauer,screenplay
16,tt0069796,anthony-james ryan,original story
17,tt0043064,don 'red' barry,story
18,tt0053230,rené lefèvre,novel
19,tt0058512,harry spalding,screenplay
20,tt0058512,f. paul hall,story
21,tt1621642,benjamaporn srabua,screenplay
22,tt1621642,nawapol thamrongrattanarit,screenplay
23,tt1621642,adisorn trisirikasem,screenplay
24,tt0008122,mary h. o'connor,story
25,tt2391934,melania romanelli,screenwriter
26,tt0032124,james m. cain,"story ""a modern cinderella"""
27,tt0032124,dwight taylor,screenplay
28,tt0009696,eugene b. lewis,screenplay
29,tt0009696,eugene b. lewis,story
30,tt1433235,houston roderick,story
31,tt4403312,bruno françois-boucher,screenplay
32,tt4403312,dorothy parker,story
33,tt3289518,petr hátle,story
34,tt5440594,shankar ramakrishnan,story
35,tt0105289,shuki levy,screenplay
36,tt0105289,shuki levy,story
37,tt0765209,philip lonergan,scenario
38,tt3363428,beth rosen,creator
39,tt5115318,sylvia lancaster,words
40,tt5115318,simon armitage,poetry
41,tt1583263,victoria holt,story
42,tt1583263,omar rosales,story
43,tt0296148,debbie rochon,written with
44,tt1683925,jared joseph richard,screenplay
45,tt0115892,julie salamon,book
46,tt0115892,jill weber,book
47,tt0115892,janet brownell,teleplay
48,tt0115892,sally field,teleplay
49,tt1421375,wen-yong soo,translation
50,tt4560128,alan dillingham,original story
51,tt4560128,seth roberts,screenplay
